ITEM UNIFICADO,Desc Item,media_dias
I751411,MODULO TOMADA 20A VIVAZ,54.8
I811412,MODULO TOMADA 20A SLIM MON,35.3125
I7514141,MODULO TOMADA 20A PT VIVAZ,31.333333333333332
I95140,MODULO TOMADA 10A 250V~ I9 MON,29.285714285714285
I95141,MODULO TOMADA 20A 250V~ I9 MON,26.285714285714285
I811402,MODULO TOMADA 10A SLIM MON,23.372881355932204
I95142,MODULO TOMADA 20A 250V~ VERM I9 MON,23.333333333333332
I751401,MODULO TOMADA 10A VIVAZ,21.0
I811422,MODULO TOMADA 20A 250V~ VERM SLIM MON NOVO,19.923076923076923
0413131,TERMINAL MONTADO P/ TOMADA 10A E 20A MODULAR,19.133333333333333
I8114142,MODULO TOMADA 20A PT SLIM MON,16.4
I8114042,MODULO TOMADA 10A PT SLIM MON,12.75
I751421,MODULO TOMADA 20A VERMELHA - VIVAZ,9.0
I7514041,MODULO TOMADA 10A PT VIVAZ,6.0
