ITEM UNIFICADO,Desc Item,media_dias
I95142,MODULO TOMADA 20A 250V~ VERM I9 MON,71.33333333333333
I8114142,MODULO TOMADA 20A 250V~ PT SLIM MON,61.333333333333336
0413131,TERMINAL MONTADO P/ TOMADA 10A E 20A MODULAR,45.652709359605915
I95140,MODULO TOMADA 10A 250V~ I9 MON,31.617021276595743
I811412,MODULO TOMADA 20A SLIM MON,28.142857142857142
I811402,MODULO TOMADA 10A SLIM MON,28.013513513513512
I95141,MODULO TOMADA 20A 250V~ I9 MON,20.928571428571427
I811412,MODULO TOMADA 20A 250V~ SLIM MON,19.142857142857142
I751411,MODULO TOMADA 20A 250V~ VIVAZ,18.333333333333332
I811422,MODULO TOMADA 20A 250V~ VERM SLIM MON,17.476190476190474
I751401,MODULO TOMADA 10A 250V~ VIVAZ ALT 1,16.384615384615383
I811402,MODULO TOMADA 10A 250V~ SLIM MON,13.46808510638298
I8114042,MODULO TOMADA 10A 250V~ PT SLIM MON,9.0
I751421,MODULO TOMADA 20A 250V~ VERM VIVAZ,8.5
I751401,MODULO TOMADA 10A 250V~ VIVAZ MON,8.142857142857142
I8114142,MODULO TOMADA 20A PT SLIM MON,0.0
